Site,Artifact_No,Artifact_Type,Art_Class,Condensed_Cores,Archaeological_Stage,Tool_Type,Art_Category,Dissolution,Patination,Abrasion,Edge_Damage,Patina_Condensed,Condition,Length,Max_Width,Thickness,Platform_Width,Platform_Height,X_Coord,Y_Coord,Z_Coord,X_Origin,Y_Origin,Z-Origin,Distance,Zdistance
76,109,42,Tool,,Upper / Late Pal,foliate (bifacial & trifacial),bif_tools,1,1,1,1,,m,114.87,71.02,15.74,,,282.358,172.823,529.964,295,185,530.5,17.56094499,0.536
76,199,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,1,,c,142.87,80.41,34.3,,,266.953,138.074,529.1,295,185,530.5,54.68677797,1.4
76,210,61,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,3,3,,pm,93.61,73.86,14.59,39.77,13.54,297.009,166.27,529.765,295,185,530.5,18.85176931,0.735
76,15,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,7,3,4,,c,109.51,86.88,41.17,,,288.636,141.186,529.418,295,185,530.5,44.28699376,1.082
76,121,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,4,,c,140.64,84.84,47.27,,,262.848,139.114,529.01,295,185,530.5,56.04905173,1.49
76,182,13,Core,discoid,Lower Pal,,,6,6,4,4,,c,69.92,58.54,38.54,,,270.708,173.557,529.891,295,185,530.5,26.85915848,0.609
76,6,19,Core,,,,,1,2,1,2,,,,,,,,296.399,155.008,529.531,295,185,530.5,30.04024344,0.969
76,68,27,Debitage,,,,,1,3,1,2,,c,115.4,29.35,26.19,,,289.384,170.549,529.897,295,185,530.5,15.51562006,0.603
76,106,27,Debitage,,,,,1,3,1,2,,c,113.77,30.84,35.12,,,291.947,170.288,529.898,295,185,530.5,15.03749171,0.602
76,3,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,4,,c,153.44,86.89,59.87,,,293.371,149.593,529.447,295,185,530.5,35.46009164,1.053
76,80,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,4,,c,134.09,84.12,39.43,,,276.664,140.739,529.276,295,185,530.5,47.92434864,1.224
76,186,21,Debitage,,,,blades_cores,1,3,1,2,,c,73.91,30.88,9.75,20.54,11.65,270.792,162.057,529.551,295,185,530.5,33.36628709,0.949
76,187,27,Debitage,,,,,1,3,1,2,,md,74.79,31.64,15.73,,,271.388,161.943,529.583,295,185,530.5,33.01503721,0.917
76,188,27,Debitage,,,,,1,3,1,2,,c,108.38,36.29,70.42,28.05,11.87,271.237,162.153,529.525,295,185,530.5,32.97902671,0.975
76,123,1,Core,uni_flake,,,flakes_cores,1,2,1,2,,c,65.16,69.99,30.69,,,263.007,139.749,528.937,295,185,530.5,55.44049079,1.563
76,67,2,Core,uni_blade,,,blades_cores,1,3,1,2,,c,160.69,38.17,63.94,,,288.752,170.487,529.906,295,185,530.5,15.81194197,0.594
76,189,2,Core,uni_blade,,,blades_cores,1,3,1,2,,c,93.38,36.83,61.96,,,271.51,162.171,529.581,295,185,530.5,32.76870309,0.919
76,65,1,Core,uni_flake,,,flakes_cores,1,4,1,3,,c,46.49,30.34,38.72,,,291.565,168.694,529.845,295,185,530.5,16.67674687,0.655
76,145,52,Tool,,,,,1,3,1,3,,c,91.58,42.89,17.22,22.44,13.39,248.361,172.67,529.566,295,185,530.5,48.25036349,0.934
76,124,1,Core,uni_flake,,,flakes_cores,2,4,1,3,,c,51.33,50.13,33.23,,,263.092,140.119,528.964,295,185,530.5,55.08887293,1.536
76,66,21,Debitage,,,,blades_cores,2,4,1,3,,c,82.66,33.73,8.46,21.58,8.72,289.263,170.042,529.917,295,185,530.5,16.03105804,0.583
76,82,21,Debitage,,,,blades_cores,2,3,1,3,,pm,71.28,27.52,9.23,12.15,5.77,281.546,140.703,529.35,295,185,530.5,46.30936002,1.15
76,104,18,Core,indeterm,,,,2,3,1,3,,c,106.31,109.07,61,,,294.794,166.792,529.798,295,185,530.5,18.22269201,0.702
76,105,21,Debitage,,,,blades_cores,2,4,1,3,,c,142.23,53.18,17,24.42,14.13,294.559,165.966,529.764,295,185,530.5,19.05332866,0.736
76,89,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,7,4,4,,c,146.98,97.76,32.64,,,275.274,156.117,529.401,295,185,530.5,34.99357893,1.099
76,98,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,4,,pm,99.29,68.76,29.81,,,289.919,156.564,529.542,295,185,530.5,28.90225633,0.958
76,142,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,5,7,2,5,,md,67.89,46.89,23.1,,,279.035,166.306,529.642,295,185,530.5,24.59843542,0.858
76,118,21,Debitage,,,,blades_cores,3,5,1,3,,c,121.14,46.56,16.39,31.73,7.88,274.746,175.191,529.931,295,185,530.5,22.51143616,0.569
76,102,27,Debitage,,,,,3,4,1,3,,c,137,34.75,21.49,27.04,13.64,292.284,166.903,529.817,295,185,530.5,18.3124153,0.683
76,125,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,5,7,3,5,,c,79.33,56.46,20.36,,,263.206,140.133,528.966,295,185,530.5,55.01144682,1.534
76,42,43,Tool,,,"misc (notch, perf, rp, dent, trunc)",,4,5,2,3,,c,91.83,38.73,12.73,18.23,9.85,290.018,146.419,529.409,295,185,530.5,38.91663097,1.091
76,72,27,Debitage,,,,,4,6,2,3,,c,159.5,57.04,22.34,31.73,17.85,281.347,160.443,529.572,295,185,530.5,28.11248552,0.928
76,180,47,Tool,,,endscraper,,4,3,2,3,,c,67.74,65,17.6,17.17,9.61,270.422,185.837,530.398,295,185,530.5,24.59245935,0.102
76,160,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,5,7,3,5,,c,94.71,81.75,37.8,,,274.224,180.298,530.047,295,185,530.5,21.30624765,0.453
76,97,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,3,5,,c,94.89,74.8,31.29,,,291.784,154.664,529.496,295,185,530.5,30.5225092,1.004
76,13,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,5,,c,147.5,90.4,55.06,,,289.928,148.533,529.397,295,185,530.5,36.8345474,1.103
76,201,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,5,,c,138.4,90.33,33.56,,,268.553,139.428,529.135,295,185,530.5,52.70781933,1.365
76,21,49,Tool,,Lower Pal,handaxe & misc bifacial,bif_tools,6,6,4,5,,c,123.87,70.38,39.16,,,287.21,144.067,529.395,295,185,530.5,41.68231776,1.105
